Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Keith.Q,2022.05.30 07:40:54 EDT,9278,VPN,0,1,172.23.27.17,10.128.20.35,UDP,1194,1804942120,
openvpn-server,Christian.F,2022.05.30 08:06:06 EDT,8844,VPN,0,1,172.28.152.198,10.128.20.28,UDP,1194,1715576808,
openvpn-server,Christian.U,2022.05.30 08:36:13 EDT,,VPN,0,0,172.20.195.127,,UDP,1194,,user not found
openvpn-server,Martha.M,2022.05.30 09:11:22 EDT,25159,VPN,0,1,172.26.133.24,10.128.20.101,UDP,1194,2755463998,
openvpn-server,Kimberly.M,2022.05.30 09:57:31 EDT,19393,VPN,0,1,172.19.52.141,10.128.20.185,UDP,1194,1691438067,
openvpn-server,Richard.O,2022.05.30 10:36:51 EDT,11708,VPN,0,1,172.18.102.73,10.128.20.94,UDP,1194,1550794848,
openvpn-server,Kimberly.M,2022.05.30 10:50:01 EDT,14883,VPN,0,1,172.17.224.188,10.128.20.198,UDP,1194,2544665574,
openvpn-server,Alice.H,2022.05.30 11:16:47 EDT,10306,VPN,0,1,172.20.34.211,10.128.20.98,UDP,1194,562604540,
openvpn-server,Christian.F,2022.05.30 11:37:37 EDT,24262,VPN,0,1,172.22.90.220,10.128.20.51,UDP,1194,5368404216,
openvpn-server,Bobby.W,2022.05.30 12:12:51 EDT,18163,VPN,0,1,172.18.247.160,10.128.20.131,UDP,1194,3449153700,
openvpn-server,Deborah.Q,2022.05.30 12:32:23 EDT,16086,VPN,0,1,172.31.225.81,10.128.20.41,UDP,1194,3829417074,
openvpn-server,Katherine.H,2022.05.30 12:43:33 EDT,,VPN,0,0,172.28.19.65,,UDP,1194,,user not found
openvpn-server,Kathryn.C,2022.05.30 12:59:28 EDT,12435,VPN,0,1,172.23.107.62,10.128.20.112,UDP,1194,231651615,
openvpn-server,Jason.C,2022.05.30 13:36:11 EDT,2241,VPN,0,1,172.26.166.246,10.128.20.18,UDP,1194,89429346,
openvpn-server,Barbara.O,2022.05.30 14:16:04 EDT,14399,VPN,0,1,172.27.58.31,10.128.20.141,UDP,1194,278361468,
openvpn-server,Alice.H,2022.05.30 14:54:04 EDT,7172,VPN,0,1,172.31.167.238,10.128.20.59,UDP,1194,228629016,
openvpn-server,Marilyn.G,2022.05.30 15:30:58 EDT,9193,VPN,0,1,172.24.232.93,10.128.20.201,UDP,1194,2157073099,
openvpn-server,Brittany.C,2022.05.30 15:44:50 EDT,8821,VPN,0,1,172.18.1.162,10.128.20.82,UDP,1194,358370767,
openvpn-server,Joshua.P,2022.05.30 16:23:01 EDT,3312,VPN,0,1,172.29.162.94,10.128.20.132,UDP,1194,68031792,
openvpn-server,Patrick.X,2022.05.30 16:35:24 EDT,8482,VPN,0,1,172.29.14.223,10.128.20.248,UDP,1194,373038360,
openvpn-server,Benjamin.N,2022.05.30 16:55:50 EDT,7996,VPN,0,1,172.27.18.253,10.128.20.151,UDP,1194,1298726312,
openvpn-server,Deborah.Q,2022.05.30 17:22:24 EDT,3613,VPN,0,1,172.21.63.166,10.128.20.161,UDP,1194,412330012,
